timestamp,raw,filtered
1760851427.6123698,1.405,1.416
1760851427.6176841,1.418,1.416
1760851427.6230068,1.396,1.414
1760851427.6283193,1.444,1.417
1760851427.6336138,1.413,1.417
1760851427.6388812,1.459,1.421
1760851427.6442127,1.395,1.419
1760851427.6495621,1.39,1.416
1760851427.6548994,1.432,1.417
1760851427.660227,1.416,1.417
1760851427.6656137,1.426,1.418
1760851427.671411,1.496,1.426
1760851427.6768222,1.412,1.425
1760851427.682253,1.438,1.426
1760851427.6877022,1.457,1.429
1760851427.6933684,1.436,1.43
1760851427.6987715,1.433,1.43
1760851427.7042153,1.443,1.431
1760851427.7096612,1.434,1.432
1760851427.7152853,1.48,1.436
1760851427.721348,1.48,1.441
1760851427.726743,1.456,1.442
1760851427.7320838,1.452,1.443
1760851427.7378476,1.488,1.448
1760851427.7432885,1.459,1.449
1760851427.7487483,1.444,1.449
1760851427.7541292,1.446,1.448
1760851427.7599921,1.496,1.453
1760851427.7657518,1.465,1.454
1760851427.7711778,1.459,1.455
1760851427.777115,1.456,1.455
1760851427.782614,1.486,1.458
1760851427.7885115,1.483,1.46
1760851427.7942774,1.495,1.464
1760851427.799692,1.47,1.465
1760851427.8051088,1.508,1.469
1760851427.8105135,1.463,1.468
1760851427.815897,1.464,1.468
1760851427.8215885,1.469,1.468
1760851427.8274186,1.505,1.472
1760851427.8328705,1.452,1.47
1760851427.8382804,1.45,1.468
1760851427.8436587,1.463,1.467
1760851427.84899,1.509,1.471
1760851427.854367,1.48,1.472
1760851427.8597324,1.448,1.47
1760851427.865134,1.464,1.469
1760851427.8713057,1.499,1.472
1760851427.8767202,1.462,1.471
1760851427.8821006,1.456,1.47
1760851427.8876984,1.457,1.468
1760851427.893111,1.511,1.473
1760851427.8985445,1.495,1.475
1760851427.9039583,1.469,1.474
1760851427.9094057,1.456,1.473
1760851427.9157271,1.515,1.477
1760851427.921496,1.457,1.475
1760851427.9268935,1.475,1.475
1760851427.9323378,1.455,1.473
1760851427.9381025,1.51,1.477
1760851427.9435265,1.483,1.477
1760851427.9489813,1.475,1.477
