timestamp,raw,filtered
1760709606.3589287,1.606,1.486
1760709606.3642755,1.529,1.49
1760709606.3696105,1.455,1.487
1760709606.3749354,1.418,1.48
1760709606.3803065,1.52,1.484
1760709606.3856792,1.521,1.488
1760709606.3910136,1.38,1.477
1760709606.3964446,1.372,1.466
1760709606.4020033,1.485,1.468
1760709606.4073286,1.478,1.469
1760709606.4129314,1.271,1.449
1760709606.4182572,1.327,1.437
1760709606.4236782,1.453,1.439
1760709606.4293628,1.569,1.452
1760709606.4346929,1.324,1.439
1760709606.4400272,1.341,1.429
1760709606.4455788,1.539,1.44
1760709606.4511871,1.509,1.447
1760709606.4566588,1.323,1.435
1760709606.461991,1.172,1.408
1760709606.467321,1.496,1.417
1760709606.4729846,1.591,1.435
1760709606.4785864,1.417,1.433
1760709606.4842007,1.423,1.432
1760709606.489657,1.6,1.449
1760709606.4952629,1.646,1.468
1760709606.5008729,1.495,1.471
1760709606.5067039,1.37,1.461
1760709606.512535,1.586,1.473
1760709606.5179863,1.567,1.483
1760709606.5234256,1.328,1.467
1760709606.5293002,1.431,1.464
1760709606.5351992,1.546,1.472
1760709606.5410297,1.598,1.485
1760709606.5468535,1.372,1.473
1760709606.5526853,1.442,1.47
1760709606.558114,1.501,1.473
1760709606.5639462,1.545,1.48
1760709606.5694942,1.437,1.476
1760709606.575325,1.408,1.469
1760709606.5807862,1.548,1.477
1760709606.5862036,1.544,1.484
1760709606.5918684,1.363,1.472
1760709606.5977147,1.321,1.457
1760709606.6035533,1.552,1.466
1760709606.608951,1.573,1.477
1760709606.6143773,1.362,1.465
1760709606.620008,1.354,1.454
1760709606.6258407,1.53,1.462
1760709606.6312754,1.48,1.464
1760709606.636686,1.314,1.449
1760709606.642167,1.324,1.436
1760709606.6479967,1.492,1.442
1760709606.6538694,1.534,1.451
1760709606.6593218,1.328,1.439
1760709606.6651657,1.356,1.43
1760709606.6711369,1.482,1.436
1760709606.6766045,1.468,1.439
1760709606.6820142,1.351,1.43
1760709606.6874282,1.354,1.422
1760709606.693298,1.419,1.422
1760709606.6987789,1.529,1.433
1760709606.7042277,1.328,1.422
1760709606.709671,1.458,1.426
1760709606.715085,1.559,1.439
1760709606.7204185,1.578,1.453
1760709606.7259824,1.305,1.438
1760709606.7313793,1.405,1.435
1760709606.7368803,1.472,1.439
1760709606.7422936,1.475,1.442
1760709606.7481246,1.319,1.43
1760709606.7539825,1.324,1.419
1760709606.7593992,1.496,1.427
1760709606.7652419,1.486,1.433
1760709606.7710755,1.355,1.425
1760709606.7769127,1.477,1.43
1760709606.7823622,1.534,1.441
1760709606.788252,1.497,1.446
1760709606.7939684,1.382,1.44
1760709606.7998009,1.385,1.434
1760709606.8052876,1.511,1.442
1760709606.8107262,1.509,1.449
1760709606.8161507,1.388,1.443
1760709606.8216805,1.355,1.434
1760709606.8275213,1.53,1.444
1760709606.8329456,1.533,1.452
1760709606.838779,1.34,1.441
1760709606.8441925,1.353,1.432
1760709606.8496194,1.477,1.437
1760709606.855061,1.492,1.442
1760709606.860495,1.339,1.432
1760709606.8660102,1.34,1.423
1760709606.8718483,1.517,1.432
1760709606.8776922,1.472,1.436
1760709606.8835287,1.332,1.426
1760709606.8894017,1.384,1.422
1760709606.8948424,1.535,1.433
1760709606.9002852,1.52,1.442
1760709606.9057689,1.297,1.427
1760709606.9111779,1.411,1.426
1760709606.9165273,1.612,1.444
1760709606.9218414,1.633,1.463
1760709606.9271703,1.34,1.451
1760709606.9324963,1.349,1.441
1760709606.9378285,1.546,1.451
1760709606.943159,1.496,1.456
1760709606.9486685,1.317,1.442
1760709606.954009,1.384,1.436
1760709606.9593432,1.549,1.447
1760709606.96468,1.56,1.459
1760709606.9700313,1.34,1.447
1760709606.9753785,1.359,1.438
1760709606.9807045,1.501,1.444
1760709606.9860291,1.465,1.446
1760709606.9913633,1.374,1.439
1760709606.996689,1.426,1.438
1760709607.0020182,1.551,1.449
1760709607.0073469,1.551,1.459
1760709607.0126739,1.341,1.447
1760709607.018001,1.419,1.445
1760709607.023328,1.54,1.454
1760709607.028655,1.555,1.464
1760709607.0342658,1.315,1.449
1760709607.0395937,1.384,1.443
1760709607.0449438,1.524,1.451
1760709607.050348,1.509,1.457
1760709607.0561774,1.335,1.445
1760709607.0615745,1.358,1.436
1760709607.0669868,1.521,1.444
1760709607.0724015,1.532,1.453
1760709607.077886,1.38,1.446
1760709607.0833557,1.421,1.443
1760709607.089244,1.558,1.455
1760709607.095014,1.508,1.46
1760709607.1008458,1.35,1.449
1760709607.106253,1.38,1.442
1760709607.1117206,1.55,1.453
1760709607.1172116,1.488,1.457
1760709607.1226506,1.282,1.439
1760709607.1284876,1.368,1.432
1760709607.1339738,1.564,1.445
1760709607.1397724,1.496,1.45
1760709607.1453094,1.326,1.438
1760709607.1511388,1.354,1.429
1760709607.15697,1.539,1.44
1760709607.1624086,1.479,1.444
1760709607.1682572,1.384,1.438
1760709607.173756,1.343,1.429
1760709607.1795897,1.549,1.441
1760709607.1850965,1.5,1.447
1760709607.1909897,1.414,1.443
1760709607.1969328,1.457,1.445
1760709607.2027726,1.453,1.446
1760709607.2082002,1.405,1.442
1760709607.2139647,1.325,1.43
1760709607.2194004,1.339,1.421
1760709607.2252681,1.529,1.432
1760709607.2306902,1.54,1.442
1760709607.236119,1.289,1.427
1760709607.2418344,1.368,1.421
1760709607.2476661,1.51,1.43
1760709607.2535443,1.483,1.435
1760709607.2593534,1.313,1.423
1760709607.265241,1.405,1.421
1760709607.2705965,1.578,1.437
1760709607.2760317,1.504,1.444
1760709607.281527,1.446,1.444
1760709607.2873604,1.448,1.444
1760709607.292775,1.559,1.456
1760709607.2982101,1.503,1.461
1760709607.3036673,1.339,1.448
1760709607.3090823,1.408,1.444
1760709607.3149164,1.54,1.454
1760709607.3205652,1.483,1.457
1760709607.3263977,1.306,1.442
1760709607.3318098,1.326,1.43
1760709607.3371403,1.534,1.441
1760709607.342775,1.432,1.44
1760709607.3481805,1.295,1.425
1760709607.3537755,1.457,1.428
1760709607.3591228,1.535,1.439
1760709607.3644202,1.409,1.436
1760709607.3697517,1.237,1.416
1760709607.3750794,1.351,1.41
1760709607.3804154,1.405,1.409
1760709607.3857436,1.361,1.404
1760709607.3910794,1.259,1.39
1760709607.3964083,1.382,1.389
1760709607.401761,1.612,1.411
1760709607.4070895,1.613,1.432
1760709607.4124193,1.42,1.43
1760709607.4177454,1.508,1.438
1760709607.4230733,1.627,1.457
1760709607.4284048,1.487,1.46
1760709607.433732,1.328,1.447
1760709607.4390624,1.38,1.44
1760709607.444437,1.525,1.449
1760709607.449859,1.442,1.448
1760709607.455411,1.308,1.434
1760709607.4608412,1.35,1.425
1760709607.4662547,1.462,1.429
1760709607.4720945,1.405,1.427
1760709607.4779782,1.262,1.41
1760709607.4838095,1.318,1.401
1760709607.489676,1.424,1.403
1760709607.4951158,1.385,1.401
1760709607.5009456,1.226,1.384
1760709607.5067763,1.308,1.376
1760709607.5126956,1.492,1.388
1760709607.5181313,1.426,1.392
1760709607.5235734,1.302,1.383
1760709607.5294478,1.455,1.39
1760709607.535277,1.581,1.409
1760709607.5411181,1.517,1.42
1760709607.5465908,1.384,1.416
1760709607.5524213,1.432,1.418
1760709607.5579758,1.573,1.433
1760709607.5634108,1.526,1.443
1760709607.5687509,1.32,1.43
1760709607.5740805,1.331,1.421
1760709607.5794153,1.455,1.424
1760709607.5847442,1.42,1.424
1760709607.590071,1.202,1.401
1760709607.595409,1.341,1.395
1760709607.6007526,1.563,1.412
1760709607.6060839,1.53,1.424
1760709607.6114771,1.31,1.412
1760709607.6168275,1.552,1.426
1760709607.6221578,1.738,1.458
1760709607.6274889,1.83,1.495
1760709607.6328187,1.609,1.506
1760709607.6381488,1.68,1.524
1760709607.6440415,1.839,1.555
1760709607.6494136,1.663,1.566
1760709607.6547387,1.452,1.555
1760709607.660476,1.509,1.55
1760709607.6659236,1.683,1.563
1760709607.671878,1.664,1.573
1760709607.6775403,1.403,1.556
1760709607.6833446,1.445,1.545
1760709607.688789,1.635,1.554
1760709607.6942418,1.56,1.555
1760709607.6998491,1.315,1.531
1760709607.7053185,1.393,1.517
1760709607.710941,1.58,1.523
1760709607.7163525,1.542,1.525
1760709607.721781,1.371,1.51
1760709607.7274034,1.355,1.494
1760709607.7328284,1.586,1.503
1760709607.7382448,1.527,1.506
1760709607.7438557,1.236,1.479
1760709607.7493117,1.34,1.465
1760709607.7549512,1.55,1.473
1760709607.7607887,1.509,1.477
1760709607.766619,1.256,1.455
1760709607.7724519,1.343,1.444
1760709607.777966,1.534,1.453
1760709607.783797,1.4,1.447
1760709607.7896445,1.189,1.422
1760709607.7950954,1.292,1.409
1760709607.8009493,1.559,1.424
1760709607.806429,1.47,1.428
1760709607.8118615,1.259,1.411
1760709607.8173258,1.364,1.407
1760709607.8227556,1.569,1.423
1760709607.8285933,1.545,1.435
1760709607.8339942,1.263,1.418
1760709607.8394418,1.342,1.41
1760709607.8449185,1.604,1.43
1760709607.850329,1.587,1.445
1760709607.8562136,1.255,1.426
1760709607.8616338,1.345,1.418
1760709607.8674679,1.572,1.434
1760709607.87334,1.481,1.438
1760709607.8791666,1.227,1.417
1760709607.884899,1.387,1.414
1760709607.8908534,1.584,1.431
1760709607.8966827,1.498,1.438
1760709607.902181,1.237,1.418
1760709607.908023,1.404,1.416
1760709607.9135818,1.608,1.436
1760709607.9189172,1.485,1.44
1760709607.9243994,1.237,1.42
1760709607.929743,1.354,1.414
1760709607.935076,1.563,1.428
1760709607.9404042,1.494,1.435
1760709607.9460332,1.237,1.415
1760709607.951364,1.371,1.411
1760709607.9567,1.595,1.429
1760709607.9620337,1.494,1.436
1760709607.9673626,1.281,1.42
1760709607.9727054,1.397,1.418
1760709607.9780343,1.617,1.438
1760709607.9838653,1.519,1.446
1760709607.9895396,1.337,1.435
1760709607.9949708,1.429,1.434
1760709608.0007694,1.675,1.458
1760709608.0061061,1.55,1.468
1760709608.0115168,1.334,1.454
1760709608.0168426,1.442,1.453
1760709608.0221705,1.663,1.474
1760709608.0277803,1.548,1.481
1760709608.0334508,1.294,1.463
1760709608.0390296,1.401,1.457
1760709608.044508,1.621,1.473
1760709608.0499115,1.519,1.478
1760709608.0553336,1.319,1.462
1760709608.0610054,1.431,1.459
1760709608.0721974,1.264,1.42
1760709608.0777936,1.379,1.416
1760709608.0832124,1.497,1.424
1760709608.0888295,1.35,1.417
1760709608.094279,1.199,1.395
1760709608.0997145,1.445,1.4
1760709608.1051514,1.503,1.41
1760709608.110567,1.33,1.402
1760709608.1159873,1.237,1.386
1760709608.1218228,1.32,1.379
1760709608.1276488,1.569,1.398
1760709608.13354,1.493,1.408
1760709608.1392446,1.301,1.397
1760709608.1446648,1.43,1.4
1760709608.1500912,1.584,1.419
1760709608.1556134,1.376,1.415
1760709608.1615322,1.205,1.394
1760709608.1670437,1.302,1.384
1760709608.1728804,1.484,1.394
1760709608.1787126,1.304,1.385
1760709608.184388,1.127,1.359
1760709608.1900198,1.408,1.364
1760709608.1955695,1.471,1.375
1760709608.2014394,1.341,1.372
1760709608.2072732,1.308,1.365
1760709608.2131543,1.537,1.382
1760709608.2186394,1.59,1.403
1760709608.2240765,1.469,1.41
1760709608.2295198,1.288,1.397
1760709608.234946,1.44,1.402
1760709608.240777,1.516,1.413
1760709608.2466803,1.318,1.404
1760709608.2525125,1.173,1.381
1760709608.25796,1.362,1.379
1760709608.2638009,1.491,1.39
1760709608.269246,1.327,1.384
1760709608.2750793,1.227,1.368
1760709608.2809162,1.439,1.375
1760709608.2867515,1.585,1.396
1760709608.292706,1.302,1.387
1760709608.2981546,1.147,1.363
1760709608.3039963,1.519,1.378
1760709608.3094487,1.582,1.399
1760709608.314862,1.352,1.394
1760709608.32029,1.326,1.387
1760709608.3259645,1.484,1.397
1760709608.331403,1.543,1.412
1760709608.336827,1.354,1.406
1760709608.3421626,1.21,1.386
1760709608.3481185,1.398,1.387
