timestamp,raw,filtered
1760709514.2018938,1.494,1.467
1760709514.2072637,1.291,1.449
1760709514.2126167,1.416,1.446
1760709514.2179797,1.665,1.468
1760709514.2234383,1.395,1.461
1760709514.2288687,1.21,1.436
1760709514.2343225,1.447,1.437
1760709514.2397816,1.607,1.454
1760709514.2453215,1.328,1.441
1760709514.2508173,1.166,1.414
1760709514.2563884,1.494,1.422
1760709514.2617714,1.616,1.441
1760709514.2671359,1.42,1.439
1760709514.2724807,1.253,1.42
1760709514.2779548,1.459,1.424
1760709514.2833614,1.666,1.448
1760709514.2887006,1.31,1.435
1760709514.294053,1.189,1.41
1760709514.2993948,1.417,1.411
1760709514.304736,1.679,1.438
1760709514.3101618,1.546,1.448
1760709514.3155167,1.277,1.431
1760709514.320904,1.514,1.44
1760709514.3262665,1.682,1.464
1760709514.3316705,1.422,1.46
1760709514.3370235,1.208,1.435
1760709514.3423674,1.56,1.447
1760709514.348068,1.738,1.476
1760709514.353538,1.423,1.471
1760709514.359041,1.225,1.446
1760709514.3645952,1.448,1.446
1760709514.3705304,1.629,1.465
1760709514.3764374,1.437,1.462
1760709514.3818827,1.237,1.439
1760709514.3877287,1.483,1.444
1760709514.393376,1.663,1.466
1760709514.3988063,1.405,1.46
1760709514.4042408,1.235,1.437
1760709514.4099739,1.468,1.44
1760709514.4154234,1.677,1.464
1760709514.4208555,1.369,1.455
1760709514.4267185,1.218,1.431
1760709514.43261,1.464,1.434
1760709514.438059,1.637,1.454
1760709514.4437897,1.289,1.438
1760709514.4492366,1.106,1.405
1760709514.4546723,1.559,1.42
1760709514.4600983,1.745,1.453
1760709514.4656022,1.428,1.45
1760709514.4710286,1.318,1.437
1760709514.4768739,1.509,1.444
1760709514.482717,1.645,1.464
1760709514.4885604,1.414,1.459
1760709514.4940536,1.258,1.439
1760709514.4994872,1.488,1.444
1760709514.5056393,1.642,1.464
1760709514.511071,1.392,1.457
1760709514.5169964,1.237,1.435
1760709514.522491,1.534,1.445
1760709514.5283284,1.746,1.475
1760709514.5337448,1.521,1.479
1760709514.5395784,1.205,1.452
1760709514.544979,1.413,1.448
1760709514.5504642,1.617,1.465
1760709514.556301,1.397,1.458
1760709514.5617251,1.256,1.438
1760709514.5675688,1.504,1.445
1760709514.5731034,1.665,1.467
1760709514.578527,1.406,1.461
1760709514.584366,1.123,1.427
1760709514.5897858,1.437,1.428
1760709514.5952148,1.745,1.459
1760709514.6010532,1.4,1.453
1760709514.6068902,1.258,1.434
1760709514.612728,1.481,1.439
1760709514.6181593,1.566,1.451
1760709514.6236467,1.442,1.45
1760709514.6294315,1.319,1.437
1760709514.6348915,1.55,1.449
1760709514.6407561,1.663,1.47
1760709514.6461728,1.409,1.464
1760709514.6516392,1.197,1.437
1760709514.657504,1.48,1.442
1760709514.6633267,1.614,1.459
1760709514.6687398,1.385,1.451
1760709514.6741486,1.268,1.433
1760709514.6798532,1.503,1.44
1760709514.6853511,1.62,1.458
1760709514.691181,1.355,1.448
1760709514.6970723,1.199,1.423
1760709514.7029066,1.445,1.425
1760709514.708765,1.627,1.445
1760709514.7141817,1.51,1.452
1760709514.7196062,1.26,1.433
1760709514.7250268,1.53,1.442
1760709514.7303665,1.708,1.469
1760709514.735728,1.385,1.461
1760709514.7410579,1.256,1.44
1760709514.7464044,1.516,1.448
1760709514.7517488,1.679,1.471
1760709514.7570944,1.432,1.467
1760709514.7624524,1.237,1.444
1760709514.76778,1.466,1.446
1760709514.7731082,1.674,1.469
1760709514.7784545,1.429,1.465
1760709514.7837565,1.226,1.441
1760709514.7890625,1.509,1.448
1760709514.7944803,1.63,1.466
1760709514.799865,1.279,1.447
1760709514.8053792,1.274,1.43
1760709514.810733,1.521,1.439
1760709514.8161185,1.715,1.467
1760709514.8213596,1.495,1.469
1760709514.826588,1.233,1.446
1760709514.831792,1.514,1.453
1760709514.8370101,1.638,1.471
